"Alternative","Distribution","$n$","$\delta$","F","W","L","KW","SW","SW+L"
"increasing trend","skew 0.5, excess kurtosis 1",20,0.4,"0.110","0.110","0.112","0.109","0.114","0.117"
"increasing trend","skew 0.5, excess kurtosis 1",20,0.6,"0.205","0.203","0.207","0.207","0.213","0.219"
"increasing trend","skew 0.5, excess kurtosis 1",20,0.8,"0.345","0.337","0.347","0.349","0.356","0.363"
"increasing trend","skew 0.5, excess kurtosis 1",20,1,"0.511","0.501","0.513","0.524","0.525","0.538"
"increasing trend","skew 0.5, excess kurtosis 1",20,1.2,"0.689","0.678","0.691","0.702","0.702","0.712"
"increasing trend","skew 0.5, excess kurtosis 1",20,1.4,"0.826","0.814","0.827","0.838","0.835","0.846"
"increasing trend","skew 0.5, excess kurtosis 1",20,1.6,"0.918","0.910","0.918","0.926","0.923","0.929"
"increasing trend","skew 0.5, excess kurtosis 1",50,0,"0.050","0.051","0.050","0.049","0.052","0.052"
"increasing trend","skew 0.5, excess kurtosis 1",50,0.2,"0.085","0.085","0.085","0.088","0.091","0.091"
"increasing trend","skew 0.5, excess kurtosis 1",50,0.4,"0.231","0.230","0.232","0.241","0.244","0.246"
"increasing trend","skew 0.5, excess kurtosis 1",50,0.6,"0.485","0.481","0.486","0.505","0.508","0.510"
"increasing trend","skew 0.5, excess kurtosis 1",50,0.8,"0.752","0.749","0.753","0.773","0.774","0.776"
"increasing trend","skew 0.5, excess kurtosis 1",50,1,"0.921","0.919","0.921","0.935","0.934","0.935"
"increasing trend","skew 0.5, excess kurtosis 1",50,1.2,"0.985","0.983","0.985","0.989","0.988","0.989"
"increasing trend","skew 0.5, excess kurtosis 1",50,1.4,"0.998","0.998","0.998","0.999","0.999","0.999"
"increasing trend","skew 0.5, excess kurtosis 1",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 0.5, excess kurtosis 1",100,0,"0.051","0.052","0.052","0.051","0.051","0.051"
"increasing trend","skew 0.5, excess kurtosis 1",100,0.2,"0.130","0.131","0.130","0.135","0.136","0.136"
"increasing trend","skew 0.5, excess kurtosis 1",100,0.4,"0.438","0.435","0.438","0.458","0.459","0.459"
"increasing trend","skew 0.5, excess kurtosis 1",100,0.6,"0.807","0.806","0.808","0.830","0.830","0.830"
"increasing trend","skew 0.5, excess kurtosis 1",100,0.8,"0.974","0.973","0.974","0.981","0.980","0.980"
"increasing trend","skew 0.5, excess kurtosis 1",100,1,"0.999","0.999","0.999","0.999","0.999","0.999"
"increasing trend","skew 0.5, excess kurtosis 1",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 0.5, excess kurtosis 1",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 0.5, excess kurtosis 1",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 1, excess kurtosis 1.6",10,0,"0.048","0.050","0.050","0.045","0.052","0.055"
"increasing trend","skew 1, excess kurtosis 1.6",10,0.2,"0.056","0.059","0.058","0.054","0.062","0.065"
"increasing trend","skew 1, excess kurtosis 1.6",10,0.4,"0.077","0.080","0.080","0.074","0.084","0.088"
"increasing trend","skew 1, excess kurtosis 1.6",10,0.6,"0.120","0.122","0.123","0.120","0.131","0.137"
"increasing trend","skew 1, excess kurtosis 1.6",10,0.8,"0.182","0.179","0.185","0.185","0.195","0.203"
"increasing trend","skew 1, excess kurtosis 1.6",10,1,"0.265","0.259","0.269","0.274","0.283","0.296"
"increasing trend","skew 1, excess kurtosis 1.6",10,1.2,"0.373","0.356","0.376","0.384","0.392","0.410"
"increasing trend","skew 1, excess kurtosis 1.6",10,1.4,"0.495","0.475","0.499","0.513","0.517","0.538"
"increasing trend","skew 1, excess kurtosis 1.6",10,1.6,"0.610","0.586","0.614","0.632","0.633","0.653"
"increasing trend","skew 1, excess kurtosis 1.6",20,0,"0.048","0.050","0.049","0.048","0.051","0.052"
"increasing trend","skew 1, excess kurtosis 1.6",20,0.2,"0.064","0.068","0.065","0.064","0.069","0.069"
"increasing trend","skew 1, excess kurtosis 1.6",20,0.4,"0.113","0.116","0.114","0.120","0.125","0.126"
"increasing trend","skew 1, excess kurtosis 1.6",20,0.6,"0.206","0.205","0.207","0.223","0.228","0.229"
"increasing trend","skew 1, excess kurtosis 1.6",20,0.8,"0.351","0.345","0.352","0.383","0.388","0.391"
"increasing trend","skew 1, excess kurtosis 1.6",20,1,"0.519","0.512","0.521","0.565","0.570","0.573"
"increasing trend","skew 1, excess kurtosis 1.6",20,1.2,"0.691","0.679","0.693","0.740","0.743","0.746"
"increasing trend","skew 1, excess kurtosis 1.6",20,1.4,"0.827","0.820","0.829","0.870","0.871","0.873"
"increasing trend","skew 1, excess kurtosis 1.6",20,1.6,"0.920","0.916","0.922","0.946","0.947","0.948"
"increasing trend","skew 1, excess kurtosis 1.6",50,0,"0.050","0.051","0.050","0.050","0.050","0.050"
"increasing trend","skew 1, excess kurtosis 1.6",50,0.2,"0.087","0.089","0.088","0.095","0.094","0.095"
"increasing trend","skew 1, excess kurtosis 1.6",50,0.4,"0.232","0.232","0.233","0.263","0.263","0.263"
"increasing trend","skew 1, excess kurtosis 1.6",50,0.6,"0.481","0.478","0.482","0.541","0.541","0.541"
"increasing trend","skew 1, excess kurtosis 1.6",50,0.8,"0.751","0.748","0.752","0.812","0.812","0.812"
"increasing trend","skew 1, excess kurtosis 1.6",50,1,"0.921","0.920","0.922","0.953","0.953","0.953"
"increasing trend","skew 1, excess kurtosis 1.6",50,1.2,"0.984","0.983","0.984","0.993","0.993","0.993"
"increasing trend","skew 1, excess kurtosis 1.6",50,1.4,"0.998","0.998","0.998","0.999","0.999","0.999"
"increasing trend","skew 1, excess kurtosis 1.6",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 1, excess kurtosis 1.6",100,0,"0.048","0.049","0.049","0.048","0.048","0.048"
"increasing trend","skew 1, excess kurtosis 1.6",100,0.2,"0.134","0.135","0.134","0.149","0.149","0.149"
"increasing trend","skew 1, excess kurtosis 1.6",100,0.4,"0.437","0.435","0.437","0.499","0.499","0.499"
"increasing trend","skew 1, excess kurtosis 1.6",100,0.6,"0.809","0.807","0.810","0.867","0.867","0.867"
"increasing trend","skew 1, excess kurtosis 1.6",100,0.8,"0.974","0.973","0.974","0.989","0.989","0.989"
"increasing trend","skew 1, excess kurtosis 1.6",100,1,"0.999","0.999","0.999","1.000","1.000","1.000"
"increasing trend","skew 1, excess kurtosis 1.6",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 1, excess kurtosis 1.6",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 1, excess kurtosis 1.6",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 2, excess kurtosis 6.6",10,0,"0.043","0.051","0.045","0.043","0.049","0.049"
"increasing trend","skew 2, excess kurtosis 6.6",10,0.2,"0.051","0.061","0.054","0.057","0.063","0.064"
"increasing trend","skew 2, excess kurtosis 6.6",10,0.4,"0.077","0.094","0.081","0.101","0.106","0.107"
"increasing trend","skew 2, excess kurtosis 6.6",10,0.6,"0.126","0.143","0.130","0.180","0.184","0.186"
"increasing trend","skew 2, excess kurtosis 6.6",10,0.8,"0.198","0.220","0.205","0.295","0.296","0.300"
"increasing trend","skew 2, excess kurtosis 6.6",10,1,"0.291","0.317","0.302","0.426","0.428","0.430"
"increasing trend","skew 2, excess kurtosis 6.6",10,1.2,"0.411","0.429","0.422","0.569","0.570","0.573"
"increasing trend","skew 2, excess kurtosis 6.6",10,1.4,"0.524","0.541","0.538","0.694","0.695","0.697"
"increasing trend","skew 2, excess kurtosis 6.6",10,1.6,"0.639","0.653","0.653","0.797","0.798","0.799"
"increasing trend","skew 2, excess kurtosis 6.6",20,0,"0.046","0.057","0.050","0.047","0.047","0.047"
"increasing trend","skew 2, excess kurtosis 6.6",20,0.2,"0.060","0.074","0.064","0.077","0.078","0.078"
"increasing trend","skew 2, excess kurtosis 6.6",20,0.4,"0.115","0.132","0.120","0.183","0.183","0.183"
"increasing trend","skew 2, excess kurtosis 6.6",20,0.6,"0.219","0.236","0.223","0.369","0.369","0.369"
"increasing trend","skew 2, excess kurtosis 6.6",20,0.8,"0.370","0.386","0.375","0.595","0.595","0.595"
"increasing trend","skew 2, excess kurtosis 6.6",20,1,"0.541","0.557","0.550","0.784","0.784","0.784"
"increasing trend","skew 2, excess kurtosis 6.6",20,1.2,"0.700","0.714","0.710","0.906","0.906","0.906"
"increasing trend","skew 2, excess kurtosis 6.6",20,1.4,"0.828","0.841","0.838","0.966","0.966","0.966"
"increasing trend","skew 2, excess kurtosis 6.6",20,1.6,"0.911","0.921","0.918","0.989","0.989","0.989"
"increasing trend","skew 2, excess kurtosis 6.6",50,0,"0.048","0.055","0.051","0.050","0.050","0.050"
"increasing trend","skew 2, excess kurtosis 6.6",50,0.2,"0.092","0.100","0.094","0.138","0.138","0.138"
"increasing trend","skew 2, excess kurtosis 6.6",50,0.4,"0.235","0.247","0.238","0.442","0.442","0.442"
"increasing trend","skew 2, excess kurtosis 6.6",50,0.6,"0.494","0.505","0.498","0.797","0.797","0.797"
"increasing trend","skew 2, excess kurtosis 6.6",50,0.8,"0.755","0.764","0.759","0.962","0.962","0.962"
"increasing trend","skew 2, excess kurtosis 6.6",50,1,"0.919","0.925","0.923","0.997","0.997","0.997"
"increasing trend","skew 2, excess kurtosis 6.6",50,1.2,"0.982","0.985","0.984","1.000","1.000","1.000"
"increasing trend","skew 2, excess kurtosis 6.6",50,1.4,"0.996","0.997","0.997","1.000","1.000","1.000"
"increasing trend","skew 2, excess kurtosis 6.6",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 2, excess kurtosis 6.6",100,0,"0.049","0.052","0.050","0.050","0.050","0.050"
"increasing trend","skew 2, excess kurtosis 6.6",100,0.2,"0.134","0.139","0.135","0.236","0.236","0.236"
"increasing trend","skew 2, excess kurtosis 6.6",100,0.4,"0.443","0.450","0.445","0.765","0.765","0.765"
"increasing trend","skew 2, excess kurtosis 6.6",100,0.6,"0.808","0.812","0.811","0.983","0.983","0.983"
"increasing trend","skew 2, excess kurtosis 6.6",100,0.8,"0.972","0.974","0.973","1.000","1.000","1.000"
"increasing trend","skew 2, excess kurtosis 6.6",100,1,"0.998","0.998","0.998","1.000","1.000","1.000"
"increasing trend","skew 2, excess kurtosis 6.6",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 2, excess kurtosis 6.6",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 2, excess kurtosis 6.6",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","normal",10,0,"0.049","0.050","0.052","0.044","0.051","0.053"
"one-point","normal",10,0.2,"0.067","0.066","0.070","0.059","0.067","0.071"
"one-point","normal",10,0.4,"0.121","0.115","0.124","0.108","0.117","0.125"
"one-point","normal",10,0.6,"0.230","0.215","0.234","0.205","0.217","0.236"
"one-point","normal",10,0.8,"0.383","0.352","0.386","0.344","0.356","0.388"
"one-point","normal",10,1,"0.570","0.525","0.571","0.523","0.529","0.573"
"one-point","normal",10,1.2,"0.748","0.698","0.747","0.699","0.701","0.748"
"one-point","normal",10,1.4,"0.877","0.834","0.875","0.838","0.836","0.875"
"one-point","normal",10,1.6,"0.950","0.921","0.948","0.926","0.922","0.948"
"one-point","normal",20,0,"0.050","0.050","0.052","0.048","0.051","0.052"
"one-point","normal",20,0.2,"0.085","0.084","0.087","0.080","0.085","0.088"
"one-point","normal",20,0.4,"0.217","0.210","0.218","0.201","0.212","0.220"
"one-point","normal",20,0.6,"0.447","0.431","0.448","0.416","0.433","0.450"
"one-point","normal",20,0.8,"0.719","0.693","0.719","0.685","0.695","0.720"
"one-point","normal",20,1,"0.901","0.885","0.901","0.879","0.886","0.901"
"one-point","normal",20,1.2,"0.978","0.971","0.978","0.970","0.971","0.978"
"one-point","normal",20,1.4,"0.997","0.996","0.997","0.995","0.996","0.997"
"one-point","normal",20,1.6,"1.000","0.999","1.000","0.999","0.999","1.000"
"one-point","normal",50,0,"0.049","0.048","0.050","0.048","0.048","0.050"
"one-point","normal",50,0.2,"0.150","0.149","0.151","0.144","0.150","0.152"
"one-point","normal",50,0.4,"0.508","0.501","0.508","0.484","0.501","0.508"
"one-point","normal",50,0.6,"0.874","0.867","0.873","0.854","0.867","0.873"
"one-point","normal",50,0.8,"0.990","0.987","0.989","0.985","0.987","0.989"
"one-point","normal",50,1,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","normal",50,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","normal",50,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","normal",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","normal",100,0,"0.050","0.050","0.051","0.049","0.051","0.051"
"one-point","normal",100,0.2,"0.272","0.270","0.273","0.256","0.270","0.273"
"one-point","normal",100,0.4,"0.835","0.832","0.835","0.814","0.831","0.834"
"one-point","normal",100,0.6,"0.996","0.995","0.996","0.993","0.995","0.995"
"one-point","normal",100,0.8,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","normal",100,1,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","normal",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","normal",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","normal",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",10,0,"0.044","0.036","0.043","0.045","0.044","0.051"
"one-point","skew 0, excess kurtosis 6",10,0.2,"0.062","0.056","0.062","0.068","0.066","0.075"
"one-point","skew 0, excess kurtosis 6",10,0.4,"0.126","0.127","0.129","0.153","0.149","0.159"
"one-point","skew 0, excess kurtosis 6",10,0.6,"0.251","0.255","0.257","0.307","0.299","0.311"
"one-point","skew 0, excess kurtosis 6",10,0.8,"0.426","0.435","0.435","0.510","0.495","0.512"
"one-point","skew 0, excess kurtosis 6",10,1,"0.604","0.610","0.612","0.690","0.674","0.691"
"one-point","skew 0, excess kurtosis 6",10,1.2,"0.764","0.753","0.767","0.832","0.815","0.833"
"one-point","skew 0, excess kurtosis 6",10,1.4,"0.870","0.853","0.871","0.914","0.903","0.917"
"one-point","skew 0, excess kurtosis 6",10,1.6,"0.936","0.914","0.935","0.959","0.951","0.962"
"one-point","skew 0, excess kurtosis 6",20,0,"0.047","0.041","0.046","0.047","0.049","0.052"
"one-point","skew 0, excess kurtosis 6",20,0.2,"0.086","0.084","0.086","0.104","0.106","0.109"
"one-point","skew 0, excess kurtosis 6",20,0.4,"0.226","0.235","0.229","0.307","0.305","0.308"
"one-point","skew 0, excess kurtosis 6",20,0.6,"0.472","0.485","0.477","0.618","0.608","0.612"
"one-point","skew 0, excess kurtosis 6",20,0.8,"0.728","0.734","0.731","0.859","0.849","0.852"
"one-point","skew 0, excess kurtosis 6",20,1,"0.894","0.888","0.894","0.965","0.959","0.961"
"one-point","skew 0, excess kurtosis 6",20,1.2,"0.969","0.959","0.968","0.994","0.991","0.993"
"one-point","skew 0, excess kurtosis 6",20,1.4,"0.992","0.986","0.991","0.999","0.998","0.999"
"one-point","skew 0, excess kurtosis 6",20,1.6,"0.998","0.995","0.998","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",50,0,"0.047","0.045","0.048","0.048","0.048","0.048"
"one-point","skew 0, excess kurtosis 6",50,0.2,"0.153","0.156","0.153","0.214","0.214","0.214"
"one-point","skew 0, excess kurtosis 6",50,0.4,"0.518","0.528","0.521","0.705","0.705","0.705"
"one-point","skew 0, excess kurtosis 6",50,0.6,"0.875","0.872","0.875","0.971","0.971","0.971"
"one-point","skew 0, excess kurtosis 6",50,0.8,"0.986","0.982","0.986","0.999","0.999","0.999"
"one-point","skew 0, excess kurtosis 6",50,1,"0.999","0.998","0.999","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",50,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",50,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",100,0,"0.051","0.049","0.051","0.051","0.051","0.051"
"one-point","skew 0, excess kurtosis 6",100,0.2,"0.275","0.281","0.276","0.413","0.413","0.413"
"one-point","skew 0, excess kurtosis 6",100,0.4,"0.837","0.839","0.838","0.960","0.960","0.960"
"one-point","skew 0, excess kurtosis 6",100,0.6,"0.995","0.993","0.994","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",100,0.8,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",100,1,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0, excess kurtosis 6",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",10,0,"0.050","0.050","0.052","0.046","0.051","0.055"
"one-point","skew 0.5, excess kurtosis 1",10,0.2,"0.066","0.063","0.068","0.060","0.066","0.071"
"one-point","skew 0.5, excess kurtosis 1",10,0.4,"0.122","0.117","0.126","0.115","0.122","0.132"
"one-point","skew 0.5, excess kurtosis 1",10,0.6,"0.229","0.219","0.233","0.219","0.228","0.244"
"one-point","skew 0.5, excess kurtosis 1",10,0.8,"0.395","0.377","0.399","0.381","0.390","0.414"
"one-point","skew 0.5, excess kurtosis 1",10,1,"0.576","0.558","0.581","0.567","0.574","0.597"
"one-point","skew 0.5, excess kurtosis 1",10,1.2,"0.751","0.735","0.755","0.746","0.749","0.770"
"one-point","skew 0.5, excess kurtosis 1",10,1.4,"0.879","0.868","0.881","0.878","0.878","0.892"
"one-point","skew 0.5, excess kurtosis 1",10,1.6,"0.950","0.945","0.951","0.951","0.951","0.957"
"one-point","skew 0.5, excess kurtosis 1",20,0,"0.049","0.049","0.049","0.047","0.051","0.053"
"one-point","skew 0.5, excess kurtosis 1",20,0.2,"0.083","0.084","0.084","0.083","0.088","0.089"
"one-point","skew 0.5, excess kurtosis 1",20,0.4,"0.216","0.212","0.217","0.216","0.224","0.230"
"one-point","skew 0.5, excess kurtosis 1",20,0.6,"0.454","0.453","0.457","0.465","0.473","0.478"
"one-point","skew 0.5, excess kurtosis 1",20,0.8,"0.718","0.721","0.722","0.735","0.740","0.744"
"one-point","skew 0.5, excess kurtosis 1",20,1,"0.903","0.907","0.905","0.915","0.917","0.918"
"one-point","skew 0.5, excess kurtosis 1",20,1.2,"0.979","0.981","0.979","0.984","0.984","0.984"
"one-point","skew 0.5, excess kurtosis 1",20,1.4,"0.997","0.997","0.997","0.998","0.998","0.998"
"one-point","skew 0.5, excess kurtosis 1",20,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",50,0,"0.051","0.051","0.051","0.051","0.053","0.054"
"one-point","skew 0.5, excess kurtosis 1",50,0.2,"0.151","0.152","0.152","0.156","0.159","0.160"
"one-point","skew 0.5, excess kurtosis 1",50,0.4,"0.509","0.513","0.511","0.532","0.536","0.537"
"one-point","skew 0.5, excess kurtosis 1",50,0.6,"0.880","0.886","0.881","0.900","0.900","0.900"
